despues_Gio_beta_1,despues_Gio_beta_2,despues_Gio_beta_3,despues_Gio_beta_4,despues_Gio_beta_5,despues_Gio_beta_6,despues_Gio_beta_7,despues_Gio_beta_8,despues_Gio_beta_9,despues_Gio_beta_10,despues_Gio_beta_11,despues_Gio_beta_12,despues_Gio_beta_13,despues_Gio_beta_14,despues_Gio_beta_15,despues_Gio_beta_16,despues_Gio_beta_17,despues_Gio_beta_18,despues_Gio_beta_19,Sujeto,Clase
1.5697,3.1607,0.83853,5.8415,4.446,2.3606,1.5675,5.9069,6.6424,5.0369,6.8902,3.8807,3.428,3.3768,7.2892,6.999,2.3032,0.81931,4.1666,A8ESSAI,M
0.83934,4.186,9.7572,5.7404,2.3688,2.2532,0,7.0451,4.1069,6.7108,5.0948,0.83934,4.6183,6.7835,4.0436,5.3909,3.0512,0,4.5137,A9AYAND,H
3.7598,3.1134,4.7956,1.5175,2.3792,2.2908,2.2545,1.6028,8.1215,5.8791,2.6695,6.3876,7.9104,8.2462,5.1863,5.0734,7.2482,4.4398,7.1691,B10ESTO,M
3.7293,5.609,6.7995,2.2621,4.5563,6.0936,6.0372,3.8435,7.4157,7.9423,2.3652,3.7819,5.5054,5.6637,4.807,2.4332,5.2372,4.429,1.4497,B11SUPR,H
3.1697,2.4994,10.0083,4.8077,8.1707,3.3514,1.5381,7.7619,8.6774,8.2719,8.4319,3.2684,2.2441,7.4131,8.546,6.6531,3.7908,0.77668,7.7262,B12LARA,H
1.5232,4.5416,3.0882,1.5406,5.1042,3.1094,0,4.6556,5.6109,3.2171,7.3571,1.5485,4.0979,8.5499,5.7751,5.8886,4.5905,4.4524,1.5536,B13VIGA,H
3.0317,7.6593,10.1452,9.2218,7.893,5.9764,4.3777,6.3788,10.2177,10.7816,12.1794,1.5271,6.827,10.4725,8.9817,10.3474,2.2414,3.7033,10.0993,B14FOVA,M
0.71859,2.4712,6.4789,5.979,5.686,0,0,2.4005,5.4229,4.6763,7.4919,2.9512,2.3937,6.2973,8.4232,5.7051,2.1709,1.489,3.1776,B15GOGO,M
8.324,1.6032,8.449,4.1075,1.5974,7.1917,4.9114,11.4119,8.5929,7.9601,0,3.0888,10.1269,10.9595,12.9326,5.3019,8.4502,6.9901,7.4651,B17ARTO,M
8.9462,9.8115,3.102,4.8582,1.7027,10.6259,9.6432,4.6977,8.6891,11.95,10.6565,8.9205,4.7296,10.684,0,6.4587,10.9036,10.6613,10.9742,B18CASI,H
3.7069,3.8635,5.3716,3.8021,5.1654,2.9297,4.5622,5.4727,6.0518,4.8413,6.2577,3.1998,4.5148,6.2795,7.4358,4.8589,3.7305,3.7873,7.2858,B20RORA,M
0.79433,0,6.7221,0,5.2282,0,0,5.5746,6.3363,7.7906,7.8041,0.72288,2.2183,7.5262,8.3759,6.4599,0.72288,0,5.5892,B21GUDE,M
3.8922,0.74232,1.573,0.73208,3.2879,3.12,1.5663,1.7489,3.461,5.8201,5.5253,3.165,4.6849,4.9906,3.2475,3.2355,2.3303,2.2237,0.77087,B22VIPU,H
5.6386,1.4892,9.7501,3.1991,9.7116,6.0887,3.864,5.6372,10.5101,8.0905,8.189,6.305,5.5579,7.9092,9.15,7.2808,5.3877,6.7858,8.7455,B23VEZE,M
1.5799,0.84186,4.9799,5.5675,0.75868,4.8582,1.612,4.6776,3.3232,5.8661,8.5501,2.3485,2.4137,4.9681,5.0824,4.8815,1.5665,3.8341,5.5281,B24CECU,H
5.9609,8.4717,4.1737,3.1707,4.6356,5.0335,2.345,4.7528,5.847,7.0328,4.7926,6.3177,3.8607,3.1669,4.515,2.5105,3.8541,1.4925,3.1944,B25MEVI,M
0.7604,9.3433,12.5259,12.1911,11.496,2.9926,6.618,10.3419,12.4024,12.378,11.432,7.8858,11.5263,10.8343,12.2845,8.5604,5.8139,4.2269,11.3336,B4CAZAD,H
0.74489,0.72829,4.7595,4.8532,1.6248,0.763,0,2.9483,3.0715,4.7101,4.951,0,0,2.2876,4.0295,1.6334,0,0,2.3115,B5ARMON,M
1.476,4.8119,6.4849,7.5066,4.7874,3.7266,3.914,5.5955,5.6128,8.5348,9.5994,5.3506,7.9672,8.546,10.487,7.6977,3.0043,5.1885,7.1116,B6SOMOD,M
4.8948,1.6138,0.77414,5.8651,6.0221,3.2324,0.79134,4.1286,3.2972,4.0959,5.9746,3.1523,1.6805,5.7005,8.2985,4.9978,2.2955,3.365,5.8759,B7MESEA,H
4.7066,8.3457,2.2835,7.9385,6.148,7.7096,0,4.9865,9.6511,8.2126,8.1798,5.3916,7.551,6.9562,9.8706,3.8735,4.6579,3.1406,4.7279,B8RAMOM,H
0,2.4056,2.441,5.9984,6.1466,1.7708,2.528,4.9733,3.2009,4.9886,6.2088,0.76901,3.1074,7.8221,4.9786,4.2612,1.5585,0.80394,0.81898,M9BENIE,H
4.0382,5.5565,5.0219,6.7288,4.9397,1.5787,0.7419,3.8881,4.9274,7.8159,8.1837,3.9531,2.3349,3.8066,4.907,6.258,1.4683,1.4491,6.9821,M10CAUR,M
3.3525,3.3276,7.2576,7.0356,7.7009,6.2299,1.4956,4.3051,7.1921,7.9131,8.4622,3.0726,0,8.803,9.0363,8.3423,2.1971,2.1854,5.0352,M11BADE,M
3.5491,6.9778,7.6741,6.6789,5.8073,5.3448,7.5754,5.5046,5.4668,6.976,9.1726,4.5787,6.994,7.6342,8.0624,4.7271,7.6412,2.2158,4.3342,M12SAES,H
0.7861,2.1662,3.164,2.4643,1.7116,0,0.7097,0.7063,4.642,5.6171,3.4293,2.2327,1.6073,1.7421,3.8694,0,0,0.7063,0.71029,M13FECA,M
2.4031,6.6027,7.2907,6.3686,6.3731,3.9233,2.3592,10.2406,9.6011,9.3541,11.4206,8.6053,8.9205,6.7382,4.9421,5.4895,9.5774,4.0507,2.5062,M16ARVE,M
4.7465,6.5801,6.2467,2.4885,3.1851,4.0279,2.2558,4.0776,7.5142,7.1788,4.5858,5.5629,6.7369,7.0594,4.5301,2.5239,3.0562,2.9981,2.1893,M17GOSE,M
3.0956,4.9933,5.9268,5.8486,4.7006,3.0891,2.2926,3.9524,5.788,5.1043,8.1303,3.1172,4.2408,5.8747,6.4601,4.8883,4.5976,4.573,2.3799,M18HUME,M
1.5016,4.5887,5.5885,9.3807,8.4429,3.7972,2.9669,5.5605,6.1222,9.2542,9.6602,0.77654,0.72984,8.3464,7.2418,7.5756,2.9777,2.2237,6.5391,M19NAMO,H
0.7159,11.9216,10.9868,11.3328,9.8499,12.222,1.4391,11.169,10.067,11.4911,9.8721,6.5019,11.6149,10.586,12.8928,6.4381,2.8187,0,9.9081,M21SANA,M
0.87065,6.2313,9.6089,8.292,2.5737,6.004,4.0203,4.8663,8.1666,6.9057,0.7555,0.87065,8.7123,5.9472,9.8705,2.6528,2.3087,3.1288,3.3856,M22HUGU,M
1.5049,7.4447,8.5341,9.0499,6.4992,0.88826,2.4388,4.9068,8.351,7.7521,9.3123,0.77051,8.1123,3.0164,6.3711,8.8911,2.2873,1.5218,3.8794,M23SACA,M
3.9995,6.1411,8.9307,8.554,3.2674,3.1557,8.0171,4.7012,9.5307,7.9449,6.0747,3.1607,5.5911,7.0845,5.1332,7.9566,6.2293,3.2746,2.3573,M24SAME,H
4.752,0,4.2521,6.0219,5.5989,1.5781,1.5255,4.8462,5.1193,6.8521,7.9192,2.5123,2.5849,4.7304,4.1942,3.2701,2.3349,3.88,2.4118,M25MAVI,M
0.83651,4.6073,1.5567,7.3663,3.9844,1.6638,3.0314,7.1092,3.0909,7.4173,7.5932,1.661,1.533,2.46,6.7206,1.5619,3.133,1.565,3.8328,M27MUAG,H
0.74738,0.7601,6.4213,7.643,5.9118,0,2.2433,4.8637,3.1916,5.7215,8.3537,2.9769,3.1839,4.033,7.3223,4.7765,0.80823,0,5.5171,M28NUCO,M
1.5326,6.3506,6.5008,9.8011,7.318,5.4815,1.5694,4.7677,5.1141,10.9184,8.504,7.0156,5.7821,7.8381,9.3733,5.9023,1.6208,5.5582,6.7159,M3ESDIR,H
7.6185,8.4379,11.8202,7.5121,9.2334,8.4153,10.8303,8.2726,6.99,6.6531,8.3969,6.7222,6.619,1.6213,5.3432,6.0619,8.9749,0,3.6224,M7FLSAA,H
6.3326,5.9444,8.6311,6.9963,4.2061,4.244,2.3324,5.7524,7.5958,10.1072,7.6462,1.5465,3.4031,5.8681,8.6449,6.7066,2.4078,3.9471,5.1007,M8AVGUK,H
4.0773,8.6343,10.1072,10.511,7.9604,11.8837,0.77236,8.3853,10.3242,11.5368,6.5901,4.0364,4.1216,7.9556,9.7884,4.9852,3.105,0,10.3824,M9SAAND,H
